cust,segment,vertical,sub_vertical,country,bookings,purchase
ccc60a40fa9215580b09f91b1804ddb4,Commercial,Wholesale/Distribution,Wholesale/Distribution,UNITED STATES,15210,FALSE
cc20a2e07c11b0b27107da7da71feb05,Commercial,Wholesale/Distribution,Wholesale/Distribution,UNITED STATES,4223,TRUE
700c882be1f7a161a30192cbf93695c8,Commercial,Wholesale/Distribution,Wholesale/Distribution,USA,93223,FALSE
7cff5c041bd34bb95116468322d1939d,Commercial,Wholesale/Distribution,Wholesale/Distribution,MEXICO,unknown,FALSE
ce23c9b9dce3a4c17165d25225d9035b,Commercial,Wholesale/Distribution,Wholesale/Distribution,UNITED STATES,7264,FALSE
7554b1f92f06337965809ad7a0688801,Commercial,Professional Services,Construction/Engineering,UNITED STATES,4161,FALSE
0c17028ead38d98f630513d92e2bcb4f,Commercial,Professional Services,Construction/Engineering,GERMANY,64857,FALSE
ae43ef33bbf6255ef9881b3a53cd2a9a,Commercial,Financial Services,"Other (Credit Card, mortgage, financing, etc.)",MEXICO,33435,TRUE
efe1272c4998d684fe9c5555c870bb96,Commercial,Professional Services,Consulting Non-Technical,UNITED STATES,9390,FALSE
a8255ddc399aac025d8e3c4ab340819b,Commercial,Professional Services,Membership organizations,UNITED STATES,3924,TRUE
908285ad67fd16215ab8d86b478adec4,Commercial,Professional Services,Membership organizations,BRAZIL,58688,FALSE
9ae1f4a19ac58b7c6155bc17e324a461,Commercial,Government,Federal/Central Government,UNITED STATES,9650,FALSE
e090e4f7790a0b8ad00b82a0bb580d18,Enterprise,Government,Federal/Central Government,USA,20471,TRUE
b3b5b773fbe6d6606ce774852ad02a92,Commercial,Technical Services,Other (Technical Services),INDIA,33928,FALSE
ff778426711fda6b0e7329b1b5d4ea84,Commercial,Technical Services,Other (Technical Services),USA,7052,FALSE
80c6156254a8103f06887f9eaccfbf21,Commercial,Technical Services,Other (Technical Services),UNITED KINGDOM,48140,TRUE
409974b86017bbdc866475258aaae9de,Commercial,Technical Services,Other (Technical Services),UNITED KINGDOM,8789,FALSE
03b4f857970528972dabb2905a37ff37,Commercial,Technical Services,Other (Technical Services),UNITED STATES,32298,FALSE
66bb7a649ce251e22d027c98d308e503,Commercial,Technical Services,Other (Technical Services),CANADA,13129,TRUE
49bbc06363951b693c287b90be7f881d,Commercial,Technical Services,Other (Technical Services),UNITED KINGDOM,38134,FALSE
3f993c2ff1cd0a676e354f6d15567f98,Commercial,Professional Services,Other (Professional Services),UNITED STATES,39586,FALSE
84251d67637cd5bcf333c020aa899a24,Commercial,Professional Services,Other (Professional Services),UNITED STATES,5016,FALSE
2ab2019526fc0a43e68e885a5a65cea0,Commercial,Manufacturing,Consumer Products Manufacturing,AUSTRALIA,10340,FALSE
6a513dcc1876fb5bcbd1a9aa3847a210,Enterprise,Manufacturing,Consumer Products Manufacturing,FRANCE,9381,TRUE
96447bf64804990b172aa6d9d9066a79,Commercial,Manufacturing,Consumer Products Manufacturing,UNITED STATES,8873,TRUE
ab401b5d436e5e995777417f1c345273,Commercial,Manufacturing,Hi-tech/Computers Manufacturing,FRANCE,3422,TRUE
3cea2ad7c1de21f2fce7c7b85352b39b,Commercial,Manufacturing,Hi-tech/Computers Manufacturing,CANADA,2404,TRUE
62dd06e4987e1bd02e4eab4e2e424872,Commercial,Financial Services,"Other (Credit Card, mortgage, financing, etc.)",MEXICO,5660,TRUE
9a3f4ae20e6ffd9dca08fb3c0234b3d4,Commercial,Financial Services,"Other (Credit Card, mortgage, financing, etc.)",UNITED STATES,45720,FALSE
4eeb98530a5d92ab321b49a724402f70,Commercial,Financial Services,"Other (Credit Card, mortgage, financing, etc.)",FRANCE,48356,FALSE
c36c6cb7ecdbe3d8f6bb4ad67d30a084,Commercial,Financial Services,"Other (Credit Card, mortgage, financing, etc.)",UNITED STATES,1438,FALSE
82b060b1f19dea56f8e5d29f6684c31b,Commercial,Retail,"Consumer Services(dry cleaners,video rental,etc)",UNITED STATES,201857,FALSE
d52c86b5314cacd3457d2445c00dfa46,Commercial,Retail,"Consumer Services(dry cleaners,video rental,etc)",UNITED STATES,21895,FALSE
196851488d6a45904ed64cdc4008325d,Commercial,Retail,"Consumer Services(dry cleaners,video rental,etc)",UNITED STATES,7949,FALSE
61f179146e38161eacae18f9f76f7255,Enterprise,Manufacturing,Discrete Manufacturing,UNITED KINGDOM,133878,TRUE
787a3da22779c9fceca82e73a8cf532f,Enterprise,Government,Federal/Central Government,CHINA,1243664,TRUE
069979e67f86c32b412b8da08ffc3b37,Enterprise,Government,Federal/Central Government,INDIA,116438,FALSE
32149a6da93ea8e28e08c5c852f1141c,Enterprise,Financial Services,"Other (Credit Card, mortgage, financing, etc.)",UNITED STATES,20063,FALSE
c97308f4cbfecf7d61a0a169415f3a38,Enterprise,Government,Federal/Central Government,MEXICO,12519,FALSE
e6985bc3ae8b3876066d57a23a7f6cf9,Enterprise,Manufacturing,Hi-tech/Computers Manufacturing,MEXICO,36705,FALSE
